label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13
1	-473 N	0.8854	fish	Riverside	0.7351 mph	-0.2899	0.7963 m^3	460	-249	0.6646	-127	673	828	1354
1	-104 N	1.2241	rat	Santa Clarita	1.8916 mph	0.1721	1.2839 m^3	1415	-138	0.783	-81	1422	-1022	-206
3	63 N	-0.5831	rabbit	Santa Ana	0.327 mph	-0.0223	1.6263 m^3	631	1006	-0.8471	-2748	1316	777	-241
1	-169 N	-1.278	rat	Santa Clarita	1.1611 mph	0.7178	2.1402 m^3	829	692	0.0433	-1050	439	1296	-451
2	837 N	1.1056	rabbit	Anaheim, San Bernardino, San Jose, Los Angeles, Moreno Valley	0.5079 mph	-0.1111	1.6141 m^3	221	-764	0.6317	14	857	716	309
3	653 N	-0.142	rabbit	San Francisco, Santa Ana	0.3346 mph	1.0055	-0.5702 m^3	162	623	-0.79	-614	23	-108	-388
0	11 N	0.7279	dog	Fresno, Fremont, San Diego, Irvine	0.0315 mph	0.7956	0.3189 m^3	501	-558	0.0886	487	-487	1965	566
0	-105 N	2.5921	chicken	Bakersfield, Long Beach, Chula Vista, San Diego, Irvine, Fresno	0.2909 mph	0.6904	-0.3929 m^3	-207	447	1.054	168	-375	-20	1299
1	113 N	0.0889	NULL	Sacramento	1.5401 mph	-0.4996	0.4315 m^3	1921	128	0.198	-820	916	1355	1379
0	-1978 N	0.6139	dog	San Diego, Long Beach	-0.0026 mph	0.1252	-0.147 m^3	11	1025	0.7857	2471	-1118	1943	-520
3	1656 N	-0.2994	ferret	San Bernardino, Los Angeles, Anaheim	1.2097 mph	-0.6102	0.1498 m^3	-1033	NULL	0.4338	1521	179	324	-131
0	714 N	1.8787	dog	Long Beach	-0.5652 mph	-0.5303	1.1537 m^3	-164	1911	1.3269	1304	347	1180	-195
2	1759 N	0.1981	guinea pig	Oakland, Moreno Valley, Modesto, Anaheim	0.5851 mph	-0.9431	1.2258 m^3	336	470	0.1486	-1383	886	1433	292
1	807 N	-0.6002	fish	Santa Clarita	2.3289 mph	-0.6838	-0.3278 m^3	954	690	-0.3851	508	1312	193	1815
3	-2081 N	0.7391	rat	Santa Ana, San Francisco	0.6707 mph	-0.7027	0.9372 m^3	-42	108	1.1495	698	1433	707	246
3	671 N	-0.5348	rabbit	Santa Ana	1.2677 mph	2.3067	1.9155 m^3	112	852	-0.4561	-1636	198	191	478
2	1877 N	-0.6741	guinea pig	Oakland, Modesto	1.2129 mph	0.369	2.1937 m^3	-1230	N/A	-0.3772	-28	1020	285	838
0	-1366 N	1.0658	chicken	Long Beach, San Diego, Fremont, Irvine, Fresno, Chula Vista	0.0562 mph	2.679	-0.6641 m^3	-623	2059		491	-66	1412	80
1	-325 N	0.8226	fish	Riverside	1.5218 mph	0.7248	-0.6838 m^3	906	389	0.1886	571	106	153	-247
1	-664 N	0.9937	rat	Riverside, Santa Clarita	0.9493 mph	1.1272	0.216 m^3	1257	968	-0.847	1518	937	165	1163
0	886 N	?	reptile	Fremont, Irvine, Bakersfield	-0.3505 mph	1.703	0.3032 m^3	276	74	0.7294	2203	-387	137	825
3	-147 N	0.9799	rabbit	San Francisco	0.6297 mph	-0.4389	1.2647 m^3	-304	815	-0.5749	-566	809	801	540
2	2150 N	-0.0622	cat	Anaheim, Oakland, San Jose	-0.7232 mph	0.6538	0.6877 m^3	-1284	1409	0.9333	-1828	593	1158	1162
1	31 N	2.4369	fish	Santa Clarita	1.553 mph	2.3218	-0.7681 m^3	-2	-512	0.5768	1416	519	1371	153
3	-711 N	-0.3267	rabbit	Santa Ana, Stockton	0.851 mph	1.1863	0.3156 m^3	99	2130	0.3004	758	-749	-1224	536
1	-226 N	-0.1838	fish	Sacramento	1.2655 mph	-0.6092	-0.9389 m^3	823	-575	0.5762	-662	-549	223	1064
3	989 N	0.25	rabbit	Santa Ana	0.1646 mph	-0.3542	0.4745 m^3	-582	754	-0.7185	1587	-634	-121	0
3	225 N	-1.1475	fish	Santa Ana	-0.3441 mph	0.7495	2.0364 m^3	228	545	0.1737	-255	-825	435	1427
1	226 N	-0.6879	pig	Riverside	1.2303 mph	1.3042	1.209 m^3	2198	448	-0.1094	573	1368	-819	-766
1	-1734 N	0.6625	cat	Riverside	1.5295 mph	1.3527	-0.9586 m^3	236	-794	-0.494	-167	907	98	-77
2	-573 N	0.1349	GUINEA PIG	Moreno Valley, Oakland, San Bernardino	2.7027 mph	1.2963	2.6051 m^3	-504	-796	1.8088	-1470	-419	1561	1006
3	857 N	0.6448	rabbit	San Francisco	-0.6847 mph	0.6549	1.4182 m^3	324	776	-0.6309	2345	-529	1020	516
2	994 N	-0.7841	guinea pig	Los Angeles	0.8376 mph	0.8076	0.6323 m^3	742	1973	-0.3923	726	421	321	165
2	1155 N	0.4315	cat	San Jose, San Bernardino, Moreno Valley, Los Angeles, Oakland	0.8373 mph	-1.267	0.1618 m^3	-1017	-5	0.7069	727	1361	-88	642
0	1544 N	0.8601	dog	Irvine, Chula Vista, Long Beach, Fremont, Bakersfield	-0.1596 mph	1.2937	-0.5226 m^3	-110	53	-0.1522	1521	1562	1330	813
1	-811 N	0.1868	rat	Riverside, Santa Clarita	0.6031 mph	0.2328	0.826 m^3	1134	386	-0.9305	1349	-567	-1242	1466
2	1549 N	-0.0872	pig	Anaheim, San Jose, Oakland, Los Angeles	1.631 mph	0.51	1.6134 m^3	14	1119	1.7151	-1080	321	-694	1133
3	1766 N	0.9338	ferret	San Francisco	-0.811 mph	0.217	0.0571 m^3	823	-47	0.2544	1962	-640	1738	1057
2	2444 N	-0.9567	cat	San Jose, San Bernardino	-1.661 mph	-0.0635	-0.1447 m^3	-1681	-706	-0.1276	684	1146	688	627
1	-146 N	1.1066	rat	Santa Clarita	-0.846 mph	1.456	0.0681 m^3	1945	N/A	-0.9725	-2151	-1774	1252	1104
0	1593 N	1.4463	dog	Bakersfield	0.8275 mph	2.194	1.9648 m^3	-178	11	0.7081	120	29	857	775
1	-362 N	-0.2101	rat	Riverside, Sacramento	1.7097 mph	0.3202	2.0637 m^3	1127	454	0.9536	-405	N/A	227	-52
2	1614 N	0.0974	hamster	Los Angeles, San Jose	0.9751 mph	2.7215	1.4576 m^3	345	1633	0.3018	-897	682	1919	236
0	820 N	1.2778	dog	Long Beach, San Diego	1.169 mph	-0.5373	0.5949 m^3	909	158	0.1603	-100	-727	1428	1484
1	-595 N	-0.2811	FISH	Sacramento, Riverside	0.2818 mph	-0.4142	1.2093 m^3	376	1096	-0.1739	1002	302	1845	707
2	684 N	0.3943	cat	Anaheim, Modesto, Los Angeles, Oakland, San Bernardino	0.682 mph	0.5041	0.9325 m^3	-58	212	1.1417	879	-375	1054	358
2	1452 N	0.1898	guinea pig	Modesto	-0.2985 mph	0.9647	1.1416 m^3	425	9	0.5967	-324	699	1113	-387
3	460 N	0.3111	ferret	Santa Ana, Stockton	0.2923 mph	1.4428	1.3671 m^3	1169	1058	0.5523	-554	-616	464	1112
0	809 N	-0.4673	dog	iRVINE, fRESNO	0.5249 mph	0.828	0.6904 m^3	-312	1552	0.1713	1759	-30	-185	-957
2	3729 N	0.5534	bird	Modesto	0.5537 mph	-0.6342	0.8995 m^3	-445	273	0.7802	-347	876	841	579
0	-27 N	0.6817	chicken	Chula Vista, Fresno, Irvine, Bakersfield, Fremont, San Diego	0.1241 mph	-0.2305	0.064 m^3	386	1380	0.1581	665	565	1204	101
1	-580 N	1.0863	rat	Sacramento, Santa Clarita	0.0729 mph	-0.0697	1.0883 m^3	199	-445	0.3536	483	-572	1724	2205
2	-507 N	-0.7158	guinea pig	sAN jOSE	1.0776 mph	-0.4553	1.3238 m^3	-448	861	1.4504	-471	825	381	-437
1	-1873 N	1.5013	fish	Sacramento	1.0511 mph	2.0682	0.6283 m^3	1534	54	-0.382	393	-622	1028	776
3	-292 N	1.2402	rabbit	sANTA aNA, sAN fRANCISCO	0.8577 mph	0.0024	0.6887 m^3	286	628	0.608	-210	-288	30	1190
0	938 N	-0.1971	dog	San Diego, Fremont, Fresno	0.1289 mph	2.4543	0.6861 m^3	403	1185	-0.1107	1450	1207	-20	-740
1	271 N	1.4395	fish	Santa Clarita, Sacramento	1.313 mph	-1.6002	-0.353 m^3	1178	-165	1.1069	-68	-274	-2018	824
1	-21 N	0.6467	fish	Riverside, Sacramento	0.2387 mph	0.5957	0.5018 m^3	1743	219	0.7219	103	264	1032	-998
2	2008 N	-0.3414	hamster	Los Angeles, Modesto	0.618 mph	0.5226	0.2268 m^3	372	341	1.2154	81	1648	-1456	-46
1	-343 N	-0.0978	fish	Sacramento	-0.4682 mph	-0.8426	-0.8281 m^3	2207	549	1.5629	52	1509	-61	-137
3	662 N	-0.1203	ferret	Santa Ana	-1.0158 mph	0.7544	0.1002 m^3	1246	572	-0.237	-322	941	574	1117
1	1203 N	-0.6453	fish	Santa Clarita, Riverside	0.9453 mph	1.5404	-1.3145 m^3	126	-275	-0.3061	-2698	465	120	1726
0	370 N	1.2735	reptile	Fremont	0.7086 mph	-0.2434	0.4327 m^3	20	495	0.3564	2543	1185	859	1757
2	1700 N	0.169	pig	Los Angeles, Moreno Valley, San Jose, Anaheim	1.0132 mph	-0.8362	0.7354 m^3	N/A	235	0.5444	355	-258	347	-165
0	1061 N	0.9112	reptile	Chula Vista, Fresno	-0.0546 mph	1.0956	-2.4188 m^3	-59	67	1.5116	2250	474	1129	96
1	-172 N	0.7177	rat	Sacramento, Santa Clarita	0.6177 mph	1.1029	0.8809 m^3	172	-372	-0.9353	-389	349	375	1052
3	557 N	-0.0781	reptile	Stockton	-0.2413 mph	0.4044	-0.0008 m^3	-429	237	-0.6263	-361	-406	866	-752
1	1650 N	0.1449	rat	Riverside, Sacramento	1.9051 mph	0.5295	-0.5439 m^3	1132	-3	-0.5831	40	-187	-609	-17
3	286 N	-0.1698	ferret	sANTA aNA	-0.6411 mph	2.0899	0.7287 m^3	-459	1278	-0.2919	-337	865	357	932
1	-277 N	-0.0213	rat	Santa Clarita, Sacramento	0.7635 mph	-0.2072	1.2584 m^3	1800	-886	-0.066	-808	1174	-1423	1116
3	518 N	1.5827	fish	San Francisco, Santa Ana	-0.1426 mph	0.2331	0.9855 m^3	-940	686	-0.3862	-955	NULL	1288	312
0	-343 N	-0.2824	reptile	Fremont, Long Beach	0.8589 mph	1.7344	-1.3184 m^3	1331	538	0.4032	1449	17	2117	-1004
0	37 N	1.9285	reptile	Irvine, Chula Vista, San Diego, Fresno, Fremont, Long Beach	-0.784 mph	-1.5306	1.0561 m^3	-579	785	0.6591	-44	68	1170	307
3	865 N	-0.1371	rabbit	San Francisco, Stockton	-1.3341 mph	0.4256	-1.8998 m^3	-117	285	-0.0796	25	82	611	624
0	1045 N	1.3215	reptile	Fresno	0.0914 mph	1.0231	-0.6667 m^3	-492	692	0.986	574	771	1370	2387
2	1832 N	1.6029	pig	Moreno Valley, Oakland	0.0918 mph	-1.5224	0.6745 m^3	-156	234	1.4387	601	1606	198	347
3	993 N	0.4866	rabbit	Stockton	-0.1238 mph	-0.9411	0.8982 m^3	451	673	0.8018	-35	678	1391	692
3	-606 N	0.1458	ferret	San Francisco	-0.3598 mph	1.3166	1.5788 m^3	-241	-459	-0.7688	2498	-410	1845	120
2	1922 N	1.4855	hamster	lOS aNGELES, aNAHEIM, oAKLAND, sAN bERNARDINO	0.6303 mph	-0.7526	-0.4049 m^3	518	-196	1.8514	-1217	-130	256	-147
2	172 N	0.3325	cat	San Jose, Oakland, Moreno Valley, Los Angeles, San Bernardino	1.1225 mph	-0.1091	1.8593 m^3	848	-364	0.1881	462	1255	1240	1857
2	2206 N	0.4812	rat	Modesto, Moreno Valley, San Bernardino, San Jose	0.2798 mph	-0.3649	0.7286 m^3	-355	845	1.2819	-1209	-250	2507	150
2	880 N	-0.0877	hamster	San Bernardino, Oakland, Anaheim, Los Angeles	1.6215 mph	1.1106	1.7632 m^3	-183	1872	0.4689	929	451	619	828
2	1741 N	0.4265	bird	San Jose, Anaheim, Moreno Valley	2.4 mph	2.1319	1.2632 m^3	-572	1734	-0.077	1244	-811	721	1516
2	218 N	-0.9484	fish	Modesto	1.3752 mph	0.5918	-0.2882 m^3	-237	620	0.2369	1274	1496	875	19
0	875 N	4.0052	chicken	Fresno, Long Beach, San Diego	0.9623 mph	0.5314	0.4219 m^3	369	1286	0.1966	1668	859	622	-345
1	392 N	2.0416	rat	Sacramento	-0.0376 mph	0.1302	0.8794 m^3	-41	-175	-0.0726	-610	-645	-157	685
1	678 N	1.3098	fish	Sacramento, Riverside	1.5766 mph	1.9975	1.9668 m^3	564	-428	0.9721	-526	-966	864	1812
1	540 N	0.9067	rabbit	Sacramento, Santa Clarita	1.5471 mph	2.709	0.7799 m^3	1109	1043	-0.2255	1862	501	735	4110
1	959 N	0.5001	fish	Riverside	0.2473 mph	0.3244	-0.315 m^3	175	561	0.5076	-472	-246	586	466
2	1355 N	0.8801	bird	MORENO VALLEY	0.6815 mph	2.2002	1.1648 m^3	-545	-243	1.748	1229	-470	1452	1484
2	1284 N	-0.3239	guinea pig	San Bernardino	0.0654 mph	2.0639	-1.9638 m^3	485	745	1.427	-227	1261	73	195
1	334 N	1.0667	pig	Riverside	0.5116 mph	1.0321	-0.1353 m^3	822	390	-0.7968	670	1261	1006	530
1	557 N	1.1545	fish	Santa Clarita	2.4713 mph	0.3741	-0.2048 m^3	1219	356	1.3618	584	2223	880	117
0	617 N	1.1067	reptile	Chula Vista	-0.0872 mph	0.5774	0.3522 m^3	465	585	0.2471	1500	-331	970	-394
1	-1010 N	0.1697	rat	Santa Clarita, Sacramento	2.6088 mph	0.7449	1.0234 m^3	1512	2300	0.527	1888	-572	680	-198
3	-1201 N	2.6168	ferret	Santa Ana	0.9444 mph	-0.7921	0.6309 m^3	-524	1579	-0.4933	-641	-1561	559	-194
1	122 N	0.425	rat	Sacramento, Riverside	1.5554 mph	1.3452	2.6518 m^3	1782	242	-0.2225	2027	644	-530	-390
2	815 N	-0.2347	hamster	San Bernardino, Oakland	2.4083 mph	0.7723	0.1262 m^3	-346	-132	1.0387	1206	1126	485	-308
0	85 N	-0.9766	dog	Anaheim, Moreno Valley, Oakland	-0.5054 mph	1.2347	-0.2976 m^3	308	378	-0.8965	1727	807	-772	-229
1	787 N	0.4622	fish	Sacramento	0.6734 mph	1.4192	-0.2262 m^3	3092	915	0.2249	865	1400	893	-181
1	-508 N	1.6748	fish	Riverside, Sacramento	1.0492 mph	0.6657	0.4779 m^3	582	1360	0.3987	1628	806	-247	118
2	2153 N	0.7928	guinea pig	San Jose, Los Angeles, Modesto, San Bernardino, Oakland, Moreno Valley	0.2345 mph	1.2858	0.3253 m^3	-1751	450	0.4584	66	706	1241	1054
0	-616 N	0.5119	chicken	Chula Vista, Fresno	0.7442 mph	1.3895	0.8385 m^3	-618	1639	0.6255	1169	596	-118	701
1	262 N	1.6725	fish	Sacramento	0.7514 mph	0.4297	-1.4797 m^3	4	-1380	0.5517	659	338	651	769
0	-84 N	0.2914	DOG	Fremont, San Diego, Irvine, Chula Vista	0.3005 mph	0.3943	0.519 m^3	457	717	0.6309	1675	-314	1481	-895
3	-397 N	0.3911	ferret	Stockton	-0.1947 mph	0.1322	-0.2219 m^3	416	494	-0.0775	2554	-333	474	974
3	302 N	-0.2607	Rabbit	San Francisco, Stockton	-0.1293 mph	2.2189	1.6923 m^3	-348	937	-0.952	1275	-371	2068	296
3	-316 N	0.8407	rabbit	San Francisco, Stockton	0.9703 mph	1.084	0.1517 m^3	-551	-1610	0.5248	-1210	663	157	-43
3	-223 N	-1.4978	rabbit	Stockton, Santa Ana	-1.1584 mph	0.0021	1.1391 m^3	2165	921	1.161	-981	527	699	-154
3	515 N	0.4668	ferret	Santa Ana, San Francisco	-0.1421 mph	1.3752	0.4323 m^3	91	526	0.5394	722	314	-551	-500
2	-17 N	-0.3613	hamster	San Bernardino, San Jose, Oakland, Moreno Valley, Los Angeles, Anaheim	1.0719 mph	-0.6785	0.1766 m^3	-536	-817	-1.0639	416	1017	-144	-1797
2	1107 N	0.4037	cat	San Bernardino	0.8316 mph	-0.1059	0.9355 m^3	535	826	1.0009	2552	1548	954	9
2	521 N	-0.8928	cat	San Jose, Moreno Valley, Modesto, San Bernardino	0.6306 mph	1.6733	1.5225 m^3	-1182	874	0.4513	2565	582	639	491
0	704 N	0.1828	cat	Bakersfield	-0.2486 mph	-0.1093	-0.8418 m^3	1567	-659	-0.2334	96	815	1222	-1916
1	-865 N	-0.4219	chicken	sACRAMENTO, sANTA cLARITA	0.7229 mph	0.0838	-0.9442 m^3	662	102	0.2906	-2140	-724	1766	169
2	-22 N	2.1594	Pig	Anaheim, Los Angeles, San Bernardino, San Jose, Oakland	0.4829 mph	-0.9355	-1.3252 m^3	473	5	0.7267	-306	1066	1011	222
2	1493 N	-0.0995	guinea pig	Santa Clarita, Riverside	0.5937 mph	0.4627	1.2972 m^3	638	1127	2.0002	366	-1089	2047	-883
1	574 N	0.2198	rat	Sacramento	1.8984 mph	-0.7158	2.109 m^3	2057	456	1.1164	-540	-661	-42	524
0	935 N	-0.039	rabbit	San Diego, Fresno, Long Beach, Fremont	0.4326 mph	0.8456	0.5207 m^3	-668	-156	-0.6623	955	-667	-122	-868
3	1397 N	0.4241	ferret	Santa Ana, Stockton	-0.4627 mph	-1.655	1.4644 m^3	555	44	-0.2201	-228	-257	891	88
2	1770 N	1.4427	pig	Modesto, Oakland, Los Angeles, Anaheim, San Bernardino, San Jose	1.3379 mph	2.2572	0.4593 m^3	816	-163	0.3661	-126	244	869	-244
0	1373 N	0.0956	dog	Fremont, Long Beach, Bakersfield, Fresno, San Diego	0.2889 mph	2.2342	0.0494 m^3	-305	77	1.8357	1325	92	419	-463
1	154 N	0.6321	rabbit	sANTA cLARITA	1.1955 mph	N/A	1.2132 m^3	1483	394	-0.1703	-928	-81	-29	-868
0	300 N	1.8572	dog	N/A	0.2598 mph	0.5904	1.1833 m^3	-161	368	0.5889	-220	1158	23	529
2	-320 N	-0.7087	pig	San Bernardino, Los Angeles, San Jose, Moreno Valley, Oakland, Modesto	0.1903 mph	1.2746	1.2784 m^3	-285	-490	-0.6694	-1110	706	1448	N/A
1	571 N	-1.0978	rat	Sacramento, Riverside	0.5911 mph	1.3989	-0.9761 m^3	1635	423	0.273	-196	1056	485	1047
3	708 N	0.9264	ferret	Stockton	0.037 mph	1.1427	2.5706 m^3	281	-107	-0.3274	253	-127	1607	-412
2	870 N	0.0161	hamster	san bernardino	0.0266 mph	0.1274	-0.6295 m^3	-471	1091	1.1609	-992	901	738	417
3	1111 N	0.361	ferret	Santa Ana	-0.1237 mph	-0.012	1.3105 m^3	-554	191	0.8307	-846	141	1965	1163
0	-629 N	1.0595	reptile	Fremont, Irvine, Chula Vista, San Diego, Fresno	-0.7089 mph	1.329	2.5259 m^3	-2026	900	0.3964	809	-413	51	1435
0	1428 N	1.9312	chicken	Fremont	1.1814 mph	0.6604	1.5643 m^3	729	1640	0.5552	344	391	1461	1355
3	-132 N	-0.443	ferret	San Francisco, Santa Ana	-0.7399 mph	0.8039	-0.443 m^3	-707	18	-0.1914	409	519	891	-1374
3	-873 N	1.6822	reptile	Stockton	-0.7164 mph	0.5617	-0.1034 m^3	-769	183	0.4369	359	1382	1042	658
0	2295 N	2.2834	CHICKEN	Long Beach, Fresno, Fremont	-1.6462 mph	1.0049	-1.1604 m^3	-270	1160	0.3353	837	1436	1152	1674
3	1310 N	0.7671	rabbit	San Francisco, Santa Ana	-0.8052 mph	1.7961	1.6075 m^3	456	201	-0.5477	-58	-610	2097	40
2	-641 N	-0.0867	cat	San Jose	1.5667 mph	-0.6771	1.2014 m^3	573	-87	1.0472	141	473	79	3
0	-344 N	1.4649	dog	Irvine, Fremont, Chula Vista, Long Beach, Bakersfield	-1.3626 mph	1.5245	0.0145 m^3	-569	-418	1.0417	2593	569	687	110
2	3440 N	-0.1639	hamster	aNAHEIM, mORENO vALLEY, mODESTO, oAKLAND	0.987 mph	0.7466	1.6019 m^3	-273	598	1.8431	15	1407	852	677
1	897 N	2.1126	fish	Santa Clarita, Sacramento	0.4112 mph	1.0477	0.0018 m^3	1082	-496	-0.0632	1300	-124	319	-922
0	-786 N	0.7691	chicken	San Diego, Fremont, Chula Vista, Bakersfield, Fresno, Long Beach	-0.4571 mph	0.7753	0.5322 m^3	439	-15	0.2011	348	927	530	-618
2	-381 N	-1.2321	pig	Anaheim, Modesto, Los Angeles	0.1109 mph	1.0978	0.151 m^3	564	22	0.5092	118	932	1577	356
1	741 N	0.3058	fish	Sacramento, Santa Clarita	0.4241 mph	0.5508	1.088 m^3	2171	271	0.9338	-663	-12	-5	1248
0	416 N	1.512	Reptile	Fresno, San Diego, Irvine, Long Beach, Fremont, Bakersfield	-0.2309 mph	2.1059	-0.8238 m^3	187	1050	0.7754	NULL	-78	892	-815
3	-525 N	-0.351	rabbit	Santa Ana	-0.9872 mph	1.3892	-0.5607 m^3	-190	-351	0.5948	866	51	1606	-187
0	-765 N	1.1177	reptile	San Diego, Long Beach	0.2034 mph	0.4002	-0.1438 m^3	1406	-716	0.7598	1297	995	369	232
1	211 N	1.7638	fish	Santa Clarita	1.3513 mph	0.9519	2.3494 m^3	1968	1835	-0.527	828	-76	431	1048
2	1537 N	-0.5223	hamster	Anaheim, San Jose, Moreno Valley, San Bernardino	0.4926 mph	-0.0806	0.1324 m^3	-489	-88	0.6579	-144	1443	1507	-739
0	836 N	2.6099	ferret	San Diego, Long Beach	1.2589 mph	-0.6108	-0.3703 m^3	839	NULL	-0.0056	2607	959	940	293
0	1898 N	0.9305	dog	San Diego, Long Beach, Chula Vista, Fresno	0.1439 mph	2.4079	-0.7294 m^3		31	1.528	831	718		38
0	702 N	0.467	reptile	Long Beach, Fremont	0.0136 mph	1.1074	-0.4811 m^3	106	554	1.6219	1786	1014	-36	38
0	1645 N	0.8608	Ferret	Fresno, Chula Vista, Long Beach, Bakersfield, Fremont, San Diego	1.438 mph	1.466	0.5085 m^3	-1523	804	-0.0676	1095	-758	1787	-1632
0	283 N	0.2667	chicken	Irvine, Fresno, Chula Vista	1.2234 mph	1.1835	0.2363 m^3	-1570	290	0.7692	864	221	1321	163
1	-141 N	0.7131	fish	Sacramento	0.8531 mph	-1.0929	-0.5127 m^3	1189	216	-1.7434	-2840	-974	1208	465
1	2796 N	2.1117	ferret	Sacramento	0.118 mph	0.8119	2.5174 m^3	458	417	-0.6558	1104	346	-8	-230
1	503 N	0.5294	fish	Sacramento	0.7402 mph	0.4772	1.0377 m^3	1196	656	-0.1623	1471	377	33	1268
1	-598 N	-0.39	fish	Riverside, Santa Clarita	1.9551 mph	0.0299	1.4559 m^3	205	-131	-0.2526	-949	495	1073	302
2	2276 N	-0.1098	dog	lOS aNGELES, mORENO vALLEY, aNAHEIM, sAN jOSE, sAN bERNARDINO	0.758 mph	-0.1673	-0.0021 m^3	319	940	-0.4009	-1761	1000	974	-199
1	1336 N	0.4713	rat	Santa Clarita, Sacramento	1.6959 mph	1.386	1.38 m^3	600	816	0.0572	-1561	392	1152	1203
2	652 N	-0.8696	hamster	San Jose, Anaheim, Los Angeles, Moreno Valley, San Bernardino, Modesto	0.4512 mph	0.7756	0.417 m^3	-75	NULL	1.2639	-1465	1209	1472	-690
2	1657 N	0.3925	bird	San Bernardino	0.3459 mph	1.1667	0.2679 m^3	1869	496	0.9432	-1866	436	1177	467
1	-1247 N	0.5797	fish	Sacramento	2.3385 mph	1.9456	0.9199 m^3	1057	801	-0.2358	-251	190	-704	945
0	915 N	1.1771	reptile	Fremont	0.6939 mph	0.4494	0.7403 m^3	791	-578	0.0631	-305	593	1576	204
0	753 N	0.389	reptile	Irvine, Bakersfield	1.0123 mph	0.3425	-0.5007 m^3	-1327	819	0.557	1318	512	1743	1066
0	191 N	0.4361	fish	Irvine, Chula Vista, San Diego	0.0304 mph	1.5328	0.4568 m^3	-478	393	0.4783	117	1791	250	1549
2	109 N	1.0189	guinea pig	OAKLAND, SAN BERNARDINO, ANAHEIM, SAN JOSE, MODESTO	?	0.5608	-0.0987 m^3	-1002	497	1.4053	693	577	707	-783
1	720 N	1.3215	bird	Santa Clarita	1.1278 mph	1.5508	0.4528 m^3	1247	1263	-0.1359	29	483	-327	1480
1	563 N	0.5286	fish	Sacramento, Santa Clarita	1.5406 mph	0.4134	0.6782 m^3	-201	189	0.6944	1079	849	-251	1744
3	-1070 N	0.4762	ferret	Stockton, San Francisco	-1.1955 mph	1.0804	0.5832 m^3	-277	744	-0.2587	311	461	1449	247
0	-1312 N	1.1921	dog	Bakersfield, Fremont, Long Beach, Irvine	1.0127 mph	1.6714	0.1614 m^3	-534	721	0.8763	3454	-165	548	-169
0	970 N	1.0921	reptile	San Diego, Irvine	0.5496 mph	0.6138	-0.0812 m^3	-905	746	0.7792	211	936	190	4
0	739 N	1.1368	reptile	Long Beach, San Diego, Fresno, Irvine, Fremont	0.517 mph	1.8364	-0.8833 m^3	-475	392	0.4855	835	-605	747	26
3	-912 N	0.9699	ferret	Stockton, Santa Ana	1.2853 mph	0.4118	0.224 m^3	1341	-208	-0.2004	256	-217	None	374
